Discard	버리다
Famine	기아
Pill	알약
Enhance	향상시키다
Immune	면역성의, 면제의
Superior	우월한
String	끈
Cope	대처하다
Raw	날 것의
Apply	적용하다
Cattle	소(떼)
Loan	대출(하다)
Obedient	유순한
Procedure	절차
Bond	결속
Therapy	치료
Subtle	미묘한
Depict	묘사하다
Radical	과격한, 급진주의자
Angle	각도, 모서리
Caution	조심, 주의(하다)
Persist	고집하다, 지속하다
Reverse	반대
Architecture	건축
Territory	영토
Strategy	전략
Hence	그러므로
Panic	갑작스런 공포, 공황
Wilderness	황야
Attract	끌다
Category	범주
Murder	살인(하다)
Funeral	장례식, 장례의
Humiliation	창피함, 굴욕
Flush	(얼굴이) 붉어지다
Omit	생략하다, 빼다
Outcome	결과
Alert	방심하지 않는, 기민한
Despair	절망(하다)
Compact	아담한, 밀집한, 꽉 채우다
Embassy	대사관
Astonish	놀라게 하다
Optimistic	낙천적인
Loyal	충성스러운, 성실한
Humid	습기있는
Pretend	주장하다, ~인 척 하다
Deluxe	호화로운, 사치스러운
Delicate	섬세한
Inflate	팽창시키다
Adequate	적당한
Physician	(내과) 의사
Joint	이음매, 관절
Via	~에 의하여
Passage	통과
Prefer	~을 선호하다
Vessel	(물건을 담는) 용기, 배
Restore	복구하다, 회복하다
Passive	수동적인, 간접의
Experience	경험(하다)
Marble	대리석(의)
Classify	분류하다
Fundamental	근본(의)
Transaction	거래, 처리
Sufficient	충분한
Stable	안정된
Sympathy	동정
By-Product	부산물
Edible	식용의
Federal	연방의, 연합의
Bud	싹(트다)
Trivial	사소한
Anxiety	걱정, 불안
Tablet	(의학) 정제, 알약
Prepare	준비하다
Liquid	액체
Contend	싸우다, 경쟁하다
Outlook	전망, 조망
Roam	배회하다
Decent	버젓한
Tenant	세입자
Behalf	이익, 자기편
Suffer	고통받다
Distortion	왜곡
Infinite	무한의
Anticipate	예상하다, 기대하다
Symbolic	상징적인
Municipal	지방의
Phenomenon	현상, 사건
Peasant	소작농
Concern	~에 관계하다, 관심사
Worthwhile	~할 가치가 있는
Pavement	보도
Dioxide	이산화물
Diminish	감소하다(시키다)
Jealous	질투하다
Limp	절뚝거리다, 기운이 없는
Exclude	배제하다
Flexible	융통성 있는
Nominate	추천하다
Sacred	신성한
Ranch	목장
Support	지지하다
Mammal	포유동물
Iceberg	빙산
Monetary	화폐의
Revise	개정하다
Resent	분개하다
Superb	최고의
Abrupt	갑작스러운
Diverse	다양한
Internal	내부의
Gloom	어둠, 우울
Amplify	확대하다, 증폭시키다
Refine	정제하다
Dynamic	동적인
Nerve	신경
